ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Updated On,Year,Latitude,Longitude,Location
8719624,HV396282,2012/07/20,0000X W 112TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0522,34,14,1177947,1830412,07/27/2012,2012,41.68996389,-87.62415556,"(41.68996389491519, -87.62415556111233)"
8716231,HV392628,2012/07/20,033XX W 59TH ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,false,false,0822,16,05,1154824,1865254,07/26/2012,2012,41.78606749,-87.70788299,"(41.78606748679821, -87.7078829857335)"
8715757,HV391909,2012/07/20,014XX W 62ND ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0713,16,05,1167870,1863673,07/23/2012,2012,41.78145865,-87.66009517,"(41.781458651730695, -87.66009516581626)"
8716098,HV392415,2012/07/20,0000X N GREEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1212,27,14,1170766,1900477,07/23/2012,2012,41.88238953,-87.64840193,"(41.88238953104529, -87.6484019311562)"
8716149,HV392499,2012/07/20,020XX S LEAVITT ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1223,25,07,1161974,1890328,07/23/2012,2012,41.85472775,-87.6809694,"(41.85472774515502, -87.68096940387777)"
8715324,HV391662,2012/07/20,068XX S ADA ST,0810,THEFT,OVER $500,STREET,false,false,0724,17,06,1168554,1859165,07/23/2012,2012,41.76907341,-87.65771731,"(41.769073413721, -87.65771730583046)"
8714875,HV391420,2012/07/20,043XX S MAPLEWOOD AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENTIAL YARD (FRONT/BACK),false,false,0922,12,24,1160051,1875637,07/22/2012,2012,41.81445385,-87.68843247,"(41.81445385046495, -87.68843247351239)"
8714873,HV391421,2012/07/20,003XX E 75TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0323,6,04B,1179462,1855389,07/24/2012,2012,41.75846958,-87.61784914,"(41.75846957933904, -87.61784913812797)"
8714982,HV391410,2012/07/20,058XX S INDIANA AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,false,false,0232,20,03,1178557,1866336,07/22/2012,2012,41.7885299,-87.62083348,"(41.78852989714045, -87.62083348277277)"
8714865,HV391426,2012/07/20,062XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0313,20,08B,1180287,1863567,07/24/2012,2012,41.78089198,-87.61457514,"(41.78089198069858, -87.61457513620923)"
8716418,HV392744,2012/07/20,067XX S KEDVALE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0833,13,05,1149902,1859654,07/26/2012,2012,41.77079702,-87.72607468,"(41.770797024732644, -87.72607467761279)"
8717296,HV393972,2012/07/20,067XX S ARTESIAN AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0832,15,06,1161251,1859563,07/24/2012,2012,41.77031988,-87.68447573,"(41.77031988491179, -87.68447572746534)"
8716047,HV392401,2012/07/20,055XX S ADA ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0713,16,05,1168235,1867888,07/23/2012,2012,41.79301727,-87.65863573,"(41.79301726659824, -87.65863572627497)"
8714884,HV391428,2012/07/20,101XX S MALTA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2213,21,08B,1168561,1837531,07/23/2012,2012,41.70970649,-87.65831365,"(41.70970648902796, -87.65831365218979)"
8715081,HV391540,2012/07/20,071XX S JEFFERY BLVD,0460,BATTERY,SIMPLE,STREET,false,false,0333,5,08B,1190735,1858225,07/22/2012,2012,41.76598709,-87.57644366,"(41.76598708784457, -87.57644365891016)"
8716481,HV391411,2012/07/20,008XX W WAVELAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1923,44,08B,1170033,1924744,07/27/2012,2012,41.9489955,-87.65038391,"(41.94899550183653, -87.65038391349279)"
8714830,HV391404,2012/07/20,021XX N SPRINGFIELD AVE,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,STREET,false,false,2525,30,26,1149996,1913760,07/22/2012,2012,41.91926897,-87.72432367,"(41.91926897431185, -87.72432367020212)"
8714840,HV391389,2012/07/20,057XX W MADISON ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,POLICE FACILITY/VEH PARKING LOT,true,false,1513,29,15,1138126,1899398,07/22/2012,2012,41.88008092,-87.76828369,"(41.88008091586382, -87.76828368897783)"
8714845,HV391399,2012/07/20,003XX N JEFFERSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1212,42,14,1172308,1902703,07/22/2012,2012,41.88846391,-87.64267395,"(41.88846390591864, -87.64267394758402)"
8720289,HV397023,2012/07/20,065XX S GREEN ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0723,16,05,1171727,1861297,07/27/2012,2012,41.77485489,-87.64602416,"(41.7748548925639, -87.64602416479119)"
8718363,HV395217,2012/07/20,038XX W 58TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0822,13,08B,1151873,1865833,07/27/2012,2012,41.78771475,-87.71868775,"(41.7877147485484, -87.71868775094183)"
8714866,HV391403,2012/07/20,020XX W 71ST ST,0560,ASSAULT,SIMPLE,STREET,false,true,0735,17,08A,1163848,1857609,07/27/2012,2012,41.76490368,-87.67501096,"(41.76490368019277, -87.67501096022276)"
8716495,HV391398,2012/07/20,009XX W ADDISON ST,0810,THEFT,OVER $500,CTA PLATFORM,false,false,1923,44,06,1169177,1924140,07/25/2012,2012,41.94735678,-87.65354802,"(41.94735677558397, -87.65354801522845)"
8717669,HV394364,2012/07/20,019XX W MADISON ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,OTHER,false,true,1211,27,26,1163705,1900002,07/24/2012,2012,41.88123781,-87.67434332,"(41.88123780615503, -87.67434331883847)"
